Id. de la fila;Id. del pedido;Fecha del pedido;ANIO;MES;SEMANA;NUM DIAS;Fecha de envío;Forma de envío;Id. del cliente;Nombre del cliente;Segmento;Ciudad;Estado;País;Región;Id. del producto;Categoría;Subcategoría;Nombre del producto;Total;Cantidad;Descuento;Ganancia;
5469;MX-2018-161641;25/11/2018;2018;nov;4;25;28/11/2018;Rápido;BH-11935;Begoña Hinojosa;Particulares;Macapá;Amapá;Brasil;Sur;TEC-TE-10004444;Tecnología;Teléfonos;Samsung Teléfono inteligente, Azul;4108;5;0;1273;
5470;MX-2018-161641;25/11/2018;2018;nov;4;25;28/11/2018;Rápido;BH-11935;Begoña Hinojosa;Particulares;Macapá;Amapá;Brasil;Sur;MAT-CA-10002183;Material de oficina;Carpetas;Acco Separadores, Reciclado;238,4;4;0;52;
5471;MX-2018-161641;25/11/2018;2018;nov;4;25;28/11/2018;Rápido;BH-11935;Begoña Hinojosa;Particulares;Macapá;Amapá;Brasil;Sur;MOB-SI-10000887;Mobiliario;Sillas;Harbour Creations Sillón, Negro;15706;5;0;4868;
5472;MX-2018-161641;25/11/2018;2018;nov;4;25;28/11/2018;Rápido;BH-11935;Begoña Hinojosa;Particulares;Macapá;Amapá;Brasil;Sur;MAT-SU-10004452;Material de oficina;Suministros;Kleencut Regla, Acero;86,4;1;0;29,2;
5473;MX-2018-161641;25/11/2018;2018;nov;4;25;28/11/2018;Rápido;BH-11935;Begoña Hinojosa;Particulares;Macapá;Amapá;Brasil;Sur;MOB-SI-10001568;Mobiliario;Sillas;Office Star Estora, 2;2269;5;0;952;
6517;MX-2015-130400;29/12/2015;2015;dic;4;29;1/01/2016;Urgente;CB-12445;Ciro Becerra;Particulares;Macapá;Amapá;Brasil;Sur;TEC-CO-10004906;Tecnología;Copiadoras;Canon Tinta, Color;6920,3316;7;0,002;3105,3316;
8728;MX-2016-117919;29/11/2016;2016;nov;4;29;3/12/2016;Estándar;UR-21355;Unai Rubalcaba;Empresa;Macapá;Amapá;Brasil;Sur;MOB-ME-10001735;Mobiliario;Mesas;Hon Mesa de madera, Blanco;14227,2;5;0,2;1600,2;
8729;MX-2016-117919;29/11/2016;2016;nov;4;29;3/12/2016;Estándar;UR-21355;Unai Rubalcaba;Empresa;Macapá;Amapá;Brasil;Sur;MAT-SU-10002302;Material de oficina;Suministros;Stiletto Regla, Acero;285,6;3;0;88,2;
9973;MX-2016-106243;23/06/2016;2016;jun;3;23;28/06/2016;Estándar;LL-17845;Lidia Laureano;Particulares;Macapá;Amapá;Brasil;Sur;MOB-ME-10002060;Mobiliario;Mesas;Hon Mesa redonda, Montada;5518,72;2;0,2;689,52;
629;MX-2018-129154;17/12/2018;2018;dic;3;17;21/12/2018;Rápido;MA-18685;María Acosta;PYME;Manaus;Amazonas;Brasil;Sur;MAT-SU-10002302;Material de oficina;Suministros;Stiletto Regla, Acero;95,2;1;0;29,4;
1063;US-2017-132276;20/02/2017;2017;feb;3;20;25/02/2017;Rápido;AY-11440;Asunción Ybarra;Particulares;Parintins;Amazonas;Brasil;Sur;MOB-MO-10001975;Mobiliario;Mobiliario;Deflect-O Bombilla, Negro;202,56;4;0,6;-51,04;
1626;MX-2015-118983;17/08/2015;2015;ago;3;17;18/08/2015;Urgente;AB-10180;Adela Blanco;PYME;Manaus;Amazonas;Brasil;Sur;MOB-SI-10004976;Mobiliario;Sillas;Hon Taburete, Negro;5374;5;0;1450;
1627;MX-2015-118983;17/08/2015;2015;ago;3;17;18/08/2015;Urgente;AB-10180;Adela Blanco;PYME;Manaus;Amazonas;Brasil;Sur;MOB-SI-10000771;Mobiliario;Sillas;Hon Mecedora, Ajustable;2662,2;3;0;52,8;
1836;US-2015-126011;29/09/2015;2015;sep;4;29;4/10/2015;Estándar;IS-16585;Izaskun Sosa;Empresa;Parintins;Amazonas;Brasil;Sur;MOB-SI-10001686;Mobiliario;Sillas;Hon Mecedora, 2;1062,96;3;0,6;-1116,24;
2617;MX-2017-147333;20/09/2017;2017;sep;3;20;23/09/2017;Urgente;SP-20770;Sergio Porras;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-AL-10004832;Material de oficina;Almacenamiento;Tenex Casilleros, Tamaño completo;6806;5;0;1293;
2618;MX-2017-147333;20/09/2017;2017;sep;3;20;23/09/2017;Urgente;SP-20770;Sergio Porras;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-ET-10000458;Material de oficina;Etiquetas;Novimex Etiquetas de envío, Duradero;454,8;6;0;99,6;
2619;MX-2017-147333;20/09/2017;2017;sep;3;20;23/09/2017;Urgente;SP-20770;Sergio Porras;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-AR-10002052;Material de oficina;Arte;Stanley Sacapuntas, Al por mayor;167;1;0;75;
2620;MX-2017-147333;20/09/2017;2017;sep;3;20;23/09/2017;Urgente;SP-20770;Sergio Porras;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-SO-10003619;Material de oficina;Sobres;Jiffy Sobre de hebilla, Plateado;509,6;7;0;25,2;
2977;MX-2015-107195;31/08/2015;2015;ago;4;31;7/09/2015;Estándar;SN-20875;Santiago Núñez;Particulares;Manaus;Amazonas;Brasil;Sur;TEC-TE-10004109;Tecnología;Teléfonos;Samsung Teléfono de oficina, Tamaño completo;2217;5;0;687;
3989;MX-2018-161431;14/11/2018;2018;nov;2;14;18/11/2018;Rápido;IR-16360;Irati Rodríguez;Particulares;Coari;Amazonas;Brasil;Sur;MAT-CA-10000941;Material de oficina;Carpetas;Ibico Separadores, Duradero;208,2;3;0;18,6;
3990;MX-2018-161431;14/11/2018;2018;nov;2;14;18/11/2018;Rápido;IR-16360;Irati Rodríguez;Particulares;Coari;Amazonas;Brasil;Sur;MAT-CA-10002699;Material de oficina;Carpetas;Acco Cubierta de carpeta, Reciclado;729,6;8;0;65,6;
4184;MX-2017-154144;1/11/2017;2017;nov;1;1;6/11/2017;Estándar;KÁ-17245;Katia Ávila;Particulares;Manaus;Amazonas;Brasil;Sur;MAT-PA-10003921;Material de oficina;Papel;Xerox Papel de tipo pergamino, Reciclado;351,2;4;0;20,8;
4185;MX-2017-154144;1/11/2017;2017;nov;1;1;6/11/2017;Estándar;KÁ-17245;Katia Ávila;Particulares;Manaus;Amazonas;Brasil;Sur;MAT-ET-10004182;Material de oficina;Etiquetas;Hon Etiquetas redondas, Blanco;355,2;8;0;148,8;
4186;MX-2017-154144;1/11/2017;2017;nov;1;1;6/11/2017;Estándar;KÁ-17245;Katia Ávila;Particulares;Manaus;Amazonas;Brasil;Sur;MOB-SI-10002059;Mobiliario;Sillas;SAFCO Silla de playa, Rojo;659,2;2;0;131,6;
4187;MX-2017-154144;1/11/2017;2017;nov;1;1;6/11/2017;Estándar;KÁ-17245;Katia Ávila;Particulares;Manaus;Amazonas;Brasil;Sur;MOB-MO-10001014;Mobiliario;Mobiliario;Rubvermaid Bombilla, Premium;814,8;7;0;260,4;
5605;MX-2017-166471;16/03/2017;2017;mar;2;16;20/03/2017;Estándar;AA-11005;Andrés Arellano;PYME;Manaus;Amazonas;Brasil;Sur;MAT-SU-10001629;Material de oficina;Suministros;Kleencut Cizallas, Rectangular;2028,6;7;0;791;
5606;MX-2017-166471;16/03/2017;2017;mar;2;16;20/03/2017;Estándar;AA-11005;Andrés Arellano;PYME;Manaus;Amazonas;Brasil;Sur;MOB-SI-10001965;Mobiliario;Sillas;Office Star Mecedora, 2;3817,6;4;0;877,6;
5607;MX-2017-166471;16/03/2017;2017;mar;2;16;20/03/2017;Estándar;AA-11005;Andrés Arellano;PYME;Manaus;Amazonas;Brasil;Sur;TEC-CO-10003473;Tecnología;Copiadoras;Brother Fotocopiadora personal, Digital;1896,5992;2;0,002;832,1992;
5608;MX-2017-166471;16/03/2017;2017;mar;2;16;20/03/2017;Estándar;AA-11005;Andrés Arellano;PYME;Manaus;Amazonas;Brasil;Sur;MAT-ET-10001751;Material de oficina;Etiquetas;Novimex Etiquetas para documentos legales, Blanco;139,6;2;0;32;
5684;MX-2016-120789;6/07/2016;2016;jul;1;6;12/07/2016;Estándar;AL-11215;Anya Leyva;PYME;Manacapuru;Amazonas;Brasil;Sur;MAT-PA-10000227;Material de oficina;Papel;Xerox Agenda, Premium;679;5;0;258;
7001;MX-2015-152366;7/10/2015;2015;oct;1;7;11/10/2015;Estándar;AE-11320;Ares Espinosa;Particulares;Manaus;Amazonas;Brasil;Sur;MOB-SI-10002369;Mobiliario;Sillas;Novimex Silla de playa, Negro;2031,4;7;0;893,2;
7650;MX-2017-115189;16/08/2017;2017;ago;2;16;20/08/2017;Estándar;GV-15430;Germán Vallejo;Particulares;Manaus;Amazonas;Brasil;Sur;MOB-LI-10001117;Mobiliario;Librerías;Dania Librería clásica, Negro;8242,2;3;0;3049,2;
7696;MX-2018-160311;4/07/2018;2018;jul;1;4;8/07/2018;Estándar;LC-17965;Lola Crespo;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-AR-10002284;Material de oficina;Arte;Boston Bolígrafos, Al por mayor;289,8;3;0;8,4;
7697;MX-2018-160311;4/07/2018;2018;jul;1;4;8/07/2018;Estándar;LC-17965;Lola Crespo;Empresa;Manaus;Amazonas;Brasil;Sur;TEC-AC-10002787;Tecnología;Accesorios;Logitech Tarjeta de memoria, Programable;4894,4;7;0;439,6;
7698;MX-2018-160311;4/07/2018;2018;jul;1;4;8/07/2018;Estándar;LC-17965;Lola Crespo;Empresa;Manaus;Amazonas;Brasil;Sur;TEC-AC-10003462;Tecnología;Accesorios;Memorex Router, Blanco;13014,4;8;0;5985,6;
